,BayesRisk,p1_fb,p2_fb
0,0.984,2.0,93.0
1,0.97,13.0,18.0
2,0.9825,33.0,41.0
3,0.8475,34.0,3.0
4,0.9635,20.0,19.0
5,0.981,0.0,61.0
6,0.962,49.0,16.0
7,0.98,13.0,69.0
8,0.967,33.0,17.0
9,0.983,21.0,75.0
10,0.0,36.0,1.0
11,0.8845,39.0,4.0
12,0.9055,36.0,5.0
13,0.8455,29.0,3.0
14,0.9,31.0,5.0
15,0.922,27.0,6.0
16,0.9715,64.0,26.0
17,0.7485,26.0,2.0
18,0.8515,24.0,3.0
19,0.897,20.0,5.0
20,0.7585,39.0,2.0
21,0.746,43.0,2.0
22,0.8835,45.0,4.0
23,0.7555,91.0,2.0
24,0.7445,88.0,2.0
25,0.895,88.0,5.0
26,0.8835,94.0,4.0
27,0.843,83.0,3.0
28,0.8315,36.0,3.0
29,0.762,37.0,2.0
30,0.8435,89.0,3.0
31,0.763,35.0,2.0
32,0.7575,93.0,2.0
33,0.839,86.0,3.0
34,0.846,41.0,3.0
35,0.839,92.0,3.0
36,0.916,84.0,6.0
37,0.7615,79.0,2.0
38,0.7605,77.0,2.0
39,0.88,78.0,4.0
40,0.756,75.0,2.0
41,0.8345,76.0,3.0
42,0.8525,27.0,3.0
43,0.7635,36.0,2.0
44,0.752,45.0,2.0
45,0.7585,46.0,2.0
46,0.753,78.0,2.0
47,0.7545,25.0,2.0
48,0.752,81.0,2.0
49,0.767,95.0,2.0
50,0.8465,74.0,3.0
51,0.7475,87.0,2.0
52,0.852,44.0,3.0
53,0.752,51.0,2.0
54,0.839,80.0,3.0
55,0.747,53.0,2.0
56,0.84,96.0,3.0
57,0.761,54.0,2.0
58,0.844,55.0,3.0
59,0.8805,53.0,4.0
