,MI,lower,spread
0,0.6845239645929633,20.03674900511225,21.69227717547456
1,1.004021195730492,30.59259283945163,17.70301848085621
2,1.0534245688013018,27.124523598356944,6.906633035403575
3,0.4390803947502455,19.699702722790096,24.032282491290413
4,1.0144485170094875,11.953314278677617,14.690485966622525
5,1.385788126560195,47.49740640032896,1.531446514222119
6,0.7667696712869949,23.744397234457338,16.96474910616805
7,0.5767469087603541,12.47433074034241,26.60383396487289
8,0.13289897159714936,15.256052508234088,28.782596382166265
9,1.0126150953543807,16.992085388199584,10.168132191613815
10,1.3855772233904124,42.72216134176028,4.879638228456475
11,1.3854666180404083,41.610871274612755,1.095641548406555
12,1.3859407061472044,44.555720569312165,2.1463725090802974
13,1.1221549076723623,39.08915044818472,10.910838885947815
14,1.3858203337764445,35.532404498599654,1.0954451311949847
15,1.0088954730874322,38.45311683440182,3.0666857180752447
16,1.3861422240623202,32.68479431626095,1.096652298633419
17,1.3858670468619882,44.839901819943,5.1573648534831245
18,1.3860586789962772,43.64484405923349,3.8596511112811385
19,1.3854320873687547,33.95970961930938,1.0971618628427198
20,1.3854780111899911,26.979240019065582,1.0959265120612771
21,1.386101278777593,21.05901840958585,1.095445132673769
22,1.3862301884469668,15.331906995862184,1.0958131739575905
23,1.385691249596043,10.0,1.095518800701657
24,1.3861371288709705,10.0,5.08576955346365
25,1.386086707648528,12.40221761710757,3.128309181205156
26,1.386126460444176,42.89727640070738,7.09739573977757
27,1.3855850280481024,43.30150337635777,1.095499342305914
28,1.0212615772529725,17.929389890938126,2.80684028050479
29,1.3857379175350806,12.995770786377875,1.099805992106385
30,1.386173808968178,23.84690676581597,1.095550173475112
31,1.3859958767247837,10.0,3.1575705070990336
32,0.07460762549484468,10.0,40.0
33,1.3858116183103162,30.351090512912723,1.0958091198859596
34,1.3861163971883146,10.0,8.743783839346237
35,1.3858039157905058,11.473993907134812,7.17511438100028
36,1.3860181892176238,43.58329378835075,5.864257097963901
37,1.3859165106813665,46.66216941713183,3.337412086576364
38,1.3858224846388882,10.0,7.266082623600152
39,1.3856565790820516,11.298076492692125,4.355569807060273
40,1.3857150168128038,48.5977280953871,1.3975345881343977
41,1.3858210306805905,14.192427127476378,1.0956644107853293
42,1.3861284504574982,11.37811195701299,2.2983575759741797
43,1.264755133451425,11.348961228518528,8.846724172606937
44,1.3856327502879822,11.842940010171107,6.019036782780066
45,1.0156902177668652,10.0,19.87822052638646
46,1.3856898799046666,11.089692430362225,6.50394352169288
47,1.3860979039336554,45.95411034000711,1.0958547877446103
48,1.0035669749825162,34.895627311606276,15.104026924917976
49,1.3861600036063813,45.30981076035551,3.5704741426706055
50,1.3858027566515094,46.069376728904054,2.2099652739602145
51,1.3859647254562457,21.765719632994855,1.095571259810663
52,1.3858889763706204,28.438984819714598,1.0960148617291603
53,1.3856849225765036,47.80797202762266,2.1920225575120216
54,0.614876963446652,27.44217589143273,22.557725299267734
55,1.38590117309072,25.793938598697228,1.0978684987928942
56,0.9551418631288415,30.17890738861278,11.78348665390018
57,1.3860487862239737,10.0,8.093023973162763
58,1.3860264314822892,11.280353172744089,1.0973828149497005
59,1.3858594500119983,43.48682841020546,4.866761448146939
