,MeanPPM,SumPPM,medianPPM,MeanPPMDP,SumPPMDP,medianPPMDP
0,-3.993024105522422,-3.9972668947804615,-0.2280773205497102,0.0115,0.1565,0.0
1,-3.991725538340195,-3.9939451534192427,-0.23079068984822992,0.01,0.162,0.0
2,-3.989337533812985,-3.9919969939250657,-0.22834457994881596,0.007,0.1605,0.0
3,-3.995457328376271,-3.990695510151247,-0.23519510715066883,0.0075,0.157,0.0
4,-3.9870554719454954,-3.9889751601517003,-0.23886145624498312,0.009,0.161,0.0
5,-3.989066333512226,-3.9832928567095536,-0.24282937460775056,0.005,0.16,0.0
6,-3.9954654954298934,-3.988135351871113,-0.23539964737861574,0.0145,0.159,0.0
7,-3.993444861911574,-3.9936247772049986,-0.1331624548767225,0.0075,0.157,0.0
8,-3.98993106014054,-3.990945751861268,-0.23526335807843868,0.007,0.159,0.0
9,-3.982660385712949,-3.988438087409461,-0.2450643911161814,0.0045,0.157,0.0
